City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs),Country,Date
375,Walvis Bay,-22.96,14.51,64.4,88,96,8.05,overcast clouds,0.0,0.0,NA,2020-02-22 06:35:01
376,Yangambi,0.81,24.43,77.54,67,85,3.98,overcast clouds,0.0,0.0,CD,2020-02-22 06:35:03
377,Yemtsa,63.07,40.33,32.94,89,100,16.08,overcast clouds,0.0,0.0,RU,2020-02-22 06:35:09
378,Henties Bay,-22.12,14.28,64.0,91,75,3.0,broken clouds,0.0,0.0,NA,2020-02-22 06:35:10
379,Chickasha,35.05,-97.94,39.99,59,1,6.93,clear sky,0.0,0.0,US,2020-02-22 06:35:11
380,Xichang,27.9,102.26,53.28,49,7,9.13,clear sky,0.0,0.0,CN,2020-02-22 06:35:12
381,Guarapari,-20.67,-40.5,73.4,94,75,4.7,broken clouds,0.0,0.0,BR,2020-02-22 06:35:13
382,Kembe,4.62,21.89,74.77,36,73,1.39,broken clouds,0.0,0.0,CF,2020-02-22 06:35:13
383,Mobaye,4.32,21.18,75.22,38,91,2.48,overcast clouds,0.0,0.0,CF,2020-02-22 06:35:15
384,Fare,-16.7,-151.02,82.24,79,31,13.94,light rain,0.13,0.0,PF,2020-02-22 06:35:16
385,Monrovia,6.3,-10.8,75.2,94,20,6.93,mist,0.0,0.0,LR,2020-02-22 06:33:13
386,Athabasca,54.72,-113.29,29.39,81,46,8.48,scattered clouds,0.0,0.0,CA,2020-02-22 06:33:33
387,Cuamba,-14.8,36.54,76.73,87,36,1.77,scattered clouds,0.0,0.0,MZ,2020-02-22 06:35:18
388,Baculin,7.45,126.58,78.1,70,39,9.35,light rain,0.5,0.0,PH,2020-02-22 06:35:21
389,Soto La Marina,23.77,-98.22,51.8,63,99,7.0,overcast clouds,0.0,0.0,MX,2020-02-22 06:35:27
390,Acireale,37.61,15.17,54.0,42,4,5.82,clear sky,0.0,0.0,IT,2020-02-22 06:35:29
391,Pavlodar,52.3,76.95,19.4,85,90,6.71,overcast clouds,0.0,0.0,KZ,2020-02-22 06:35:29
392,Ginda,30.69,78.49,61.43,28,0,3.58,clear sky,0.0,0.0,IN,2020-02-22 06:35:32
393,East London,-33.02,27.91,71.6,94,90,11.41,overcast clouds,0.0,0.0,ZA,2020-02-22 06:35:33
394,Souillac,-20.52,57.52,82.99,58,20,5.82,few clouds,0.0,0.0,MU,2020-02-22 06:34:09
395,Pemangkat,1.17,108.97,82.65,81,36,10.49,light rain,2.5,0.0,ID,2020-02-22 06:35:34
396,Narsaq,60.92,-46.05,19.4,44,31,3.36,scattered clouds,0.0,0.0,GL,2020-02-22 06:35:35
397,Shingu,33.73,135.98,60.8,87,75,6.93,shower rain,0.0,0.0,JP,2020-02-22 06:35:36
398,Bilma,18.69,12.92,58.35,29,73,11.54,broken clouds,0.0,0.0,NE,2020-02-22 06:35:37
399,Zharkent,44.16,80.0,42.26,55,95,8.7,overcast clouds,0.0,0.0,KZ,2020-02-22 06:35:38
400,Meulaboh,4.14,96.13,82.92,61,0,5.93,clear sky,0.0,0.0,ID,2020-02-22 06:35:38
401,Monroe,43.15,-77.68,32.0,42,1,14.99,clear sky,0.0,0.0,US,2020-02-22 06:35:39
402,Cotonou,6.37,2.42,82.4,88,40,3.36,scattered clouds,0.0,0.0,BJ,2020-02-22 06:35:40
403,Decatur,39.84,-88.95,30.99,58,1,13.87,clear sky,0.0,0.0,US,2020-02-22 06:31:36
404,Contamana,-7.33,-75.02,73.4,95,100,2.53,light rain,1.69,0.0,PE,2020-02-22 06:35:42
405,Chernyshevskiy,63.01,112.47,7.59,92,96,1.83,light snow,0.0,0.19,RU,2020-02-22 06:35:42
406,Tulum,20.22,-87.47,73.0,88,2,8.01,clear sky,0.0,0.0,MX,2020-02-22 06:35:44
