City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
125,Yaan,NG,2020-02-21 04:21:20,7.38,8.57,75.9,22,4,3.2
126,Buraydah,SA,2020-02-21 04:21:21,26.33,43.98,48.2,87,0,3.36
127,Dhandhuka,IN,2020-02-21 04:21:21,22.37,71.98,68.79,69,6,6.08
128,Duluth,US,2020-02-21 04:21:22,46.78,-92.11,12.2,55,90,17.22
129,Solnechnyy,RU,2020-02-21 04:21:22,50.72,136.63,10.13,89,23,5.39
130,Hobyo,SO,2020-02-21 04:21:23,5.35,48.53,79.61,79,100,15.26
131,Abyek,IR,2020-02-21 04:21:23,36.07,50.55,32.0,78,90,6.93
132,Manggar,ID,2020-02-21 04:21:24,-2.88,108.27,82.8,77,100,17.25
133,Brazzaville,CG,2020-02-21 04:21:24,-4.27,15.28,78.8,88,20,4.7
134,Pevek,RU,2020-02-21 04:21:25,69.7,170.31,-7.96,97,100,10.58
135,Russell,US,2020-02-21 04:21:25,32.35,-85.2,45.0,87,90,11.41
136,Kloulklubed,PW,2020-02-21 04:21:26,7.04,134.26,77.0,88,90,17.22
137,Bengkulu,ID,2020-02-21 04:19:03,-3.8,102.27,87.13,57,69,2.55
138,Camacha,PT,2020-02-21 04:21:26,33.08,-16.33,55.4,76,20,4.7
139,Mayo,US,2020-02-21 04:21:27,38.89,-76.51,36.0,50,1,11.41
140,Djenne,ML,2020-02-21 04:21:28,13.91,-4.55,76.86,12,100,9.1
141,Saquena,PE,2020-02-21 04:21:28,-4.67,-73.52,75.38,84,77,1.86
142,Hithadhoo,MV,2020-02-21 04:21:28,-0.6,73.08,83.57,79,11,12.59
143,Oranjemund,NA,2020-02-21 04:21:29,-28.55,16.43,62.2,89,74,11.7
144,Qaqortoq,GL,2020-02-21 04:21:30,60.72,-46.03,30.2,28,100,12.75
145,Quatre Cocos,MU,2020-02-21 04:21:30,-20.21,57.76,82.4,61,20,11.41
146,Hochdorf,CH,2020-02-21 04:21:31,47.17,8.28,44.01,81,90,8.05
147,Ilulissat,GL,2020-02-21 04:21:01,69.22,-51.1,-5.8,58,9,4.7
148,Victor Harbor,AU,2020-02-21 04:21:33,-35.57,138.62,75.0,35,20,11.41
149,Gobabis,NA,2020-02-21 04:21:33,-22.45,18.97,68.0,88,100,1.12
150,Severo-Kurilsk,RU,2020-02-21 04:21:34,50.68,156.12,19.27,89,100,12.5
